,Model,Firmware,Country/Carrier,Date,PDA,Version
0,galaxy-a10,SM-A105F,Iraq,2021-08-17,A105FDDU6CUH2,11
1,galaxy-a10,SM-A105F,Iraq,2021-06-07,A105FDDU6BUD2,10
2,galaxy-a10,SM-A105F,Iraq,2021-02-22,A105FDDS6BUB1,10
3,galaxy-a10,SM-A105F,Iraq,2020-12-28,A105FDDU5BTK1,10
4,galaxy-a10,SM-A105F,Iraq,2020-09-29,A105FDDS4BTI1,10
5,galaxy-a10,SM-A105F,Iraq,2020-09-23,A105FDDU4BTH5,10
6,galaxy-a10,SM-A105F,Iraq,2020-06-25,A105FDDU3BTF1,10
7,galaxy-a10,SM-A105F,Iraq,2020-04-27,A105FDDU3BTCA,10
8,galaxy-a10,SM-A105F,Iraq,2020-04-12,A105FDDS3ATC1,9
9,galaxy-a10,SM-A105F,Iraq,2020-01-15,A105FDDU3ASL2,9
10,galaxy-a10,SM-A105F,Iraq,2019-10-31,A105FDDU3ASJ1,9
11,galaxy-a10,SM-A105F,Iraq,2019-09-24,A105FDDU3ASI6,9
12,galaxy-a10,SM-A105F,Iraq,2019-07-21,A105FDDU3ASG2,9
13,galaxy-a10,SM-A105F,Iraq,2019-06-26,A105FDDU2ASF2,9
14,galaxy-a10,SM-A105F,Iraq,2019-05-06,A105FDDU1ASD4,9
15,galaxy-a10,SM-A105F,Iraq,2019-04-04,A105FDDU1ASD2,9
